id,name,lat,lon,parameters
6988,"Sector-116, Noida - UPPCB",28.56923,77.393848,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
7005,"Loni, Ghaziabad - UPPCB",28.757294,77.278792,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
7044,"R K Puram, Delhi - DPCC",28.563262000000005,77.186937,"co, no2, o3, pm10, pm25, so2"
7434,"East Arjun Nagar, Delhi - CPCB",28.655601699999995,77.2859318,"no2, o3, so2"
8092,"East Arjun Nagar, Delhi - CPCB",28.655935,77.294904,"no2, o3, so2"
8118,New Delhi,28.63576,77.22445,pm25
8235,"Jahangirpuri, Delhi - DPCC",28.73282,77.170633,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
8239,"Okhla Phase-2, Delhi - DPCC",28.530785,77.271255,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
8365,"Nehru Nagar, Delhi - DPCC",28.56789,77.250515,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
8472,"Bawana, Delhi - DPCC",28.7762,77.051074,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
8475,"Sonia Vihar, Delhi - DPCC",28.710508,77.249485,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
8915,"Wazirpur, Delhi - DPCC",28.699793,77.165453,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
8917,"Ashok Vihar, Delhi - DPCC",28.695381,77.181665,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
10484,"Sri Aurobindo Marg, Delhi - DPCC",28.531346,77.190156,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
10486,"Mundka, Delhi - DPCC",28.684678,77.076574,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
10487,"Anand Vihar, Delhi - DPCC",28.646835,77.316032,"co, no2, o3, pm10, pm25, so2"
10489,"ITO, Delhi - CPCB",28.628624,77.24106,"co, no2, o3, pm10, pm25, so2"
10820,"Sector 30, Faridabad - HSPCB",28.4417,77.3217,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
10831,"Rohini, Delhi - DPCC",28.732528,77.11992,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
10900,"Teri Gram, Gurugram - HSPCB",28.4275,77.1465,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
10921,"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944,"co, co, no, no2, no2, nox, o3, pm10, pm10, pm25, pm25"
11603,"Chandni Chowk, Delhi - IITM",28.656756,77.227234,"co, co, no, no2, no2, nox, o3, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
11607,"Lodhi Road, Delhi - IITM",28.588333,77.221667,"co, no2, no2, o3, pm10, pm10, pm25, pm25, relativehumidity, so2, so2, temperature, wind_direction, wind_speed"
2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,"pm1, pm10, pm25, relativehumidity, temperature, um003"
3409496,"New Moti Bagh, Delhi - MHUA",28.57834,77.184,"co, no, no2, nox, pm25, relativehumidity, temperature, wind_direction, wind_speed"
4663956,"Santushti Apartments, Vasant Kunj",28.5266,77.1493,"pm1, pm25, relativehumidity, temperature, um003"
4712609,Air Check,28.623056,77.234167,"pm1, pm25, relativehumidity, temperature, um003"
6105800,"Sector 1, Noida extension",28.583491,77.431714,"pm1, pm25, relativehumidity, temperature, um003"
6119272,"Sector - 5, Vasundhara, Ghaziabad, Uttar Pradesh ",28.658398,77.3780531,"pm1, pm25, relativehumidity, temperature, um003"
6145551,Anand Lok,28.5587,77.21886,"pm1, pm25, relativehumidity, temperature, um003"
6148686,"IIT Delhi, Delhi - IITM",28.54246,77.191651,"co, no, no2, nox, o3, pm10, pm25"
6254594,"Talkatora Garden, Delhi - DPCC",28.62181,77.1944633,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
6254663,"JNU, Delhi - DPCC",28.540721,77.168544,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
6254665,"Commonwealth Sports Complex, Delhi - DPCC",28.615828,77.271992,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
6254666,"IGNOU_Maidan Garhi, Delhi - DPCC",28.493624,77.201159,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
6257818,"Cantonment Area, Delhi - DPCC",28.594169,77.1251,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
6299494,"Prashant Garden, Khora - UPPCB",28.61119,77.34206,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
6299678,"Ved Vihar-Loni, Ghaziabad - UPPCB",28.739153,77.273668,"co, no, no2, nox, o3, pm10, pm25, relativehumidity, so2, temperature, wind_direction, wind_speed"
